report_date,region,lag7_used,pred_region
2026-04-07,HSE West & North West,105.0,108.46316814422607
2026-04-07,South / South-West,48.0,44.23180103302002
2026-04-07,West / North-West,32.0,33.66676914691925
2026-04-08,Dublin Midlands,17.0,15.826769709587097
2026-04-08,Dublin North East,12.0,10.75540006160736
2026-04-08,HSE Dublin & Midlands,63.0,64.22801792621613
2026-04-08,HSE Dublin & North East,72.0,69.89339089393616
2026-04-08,HSE South & South East,69.0,66.18515157699585
2026-04-08,HSE West & North West,105.0,108.46316814422607
2026-04-08,South / South-West,48.0,44.23180103302002
2026-04-08,West / North-West,32.0,33.66676914691925
