report_date,region,lag7_used,pred_region
2025-11-16,HSE West & North West,54.0,60.542072772979736
2025-11-16,South / South-West,32.0,35.41007351875305
2025-11-16,West / North-West,12.0,16.93350648880005
2025-11-17,Dublin Midlands,9.0,6.575543165206909
2025-11-17,Dublin North East,8.0,5.590623378753662
2025-11-17,HSE Dublin & Midlands,37.0,33.82655119895935
2025-11-17,HSE Dublin & North East,57.0,54.00692367553711
2025-11-17,HSE South & South East,78.0,82.38284921646118
2025-11-17,HSE West & North West,54.0,60.542072772979736
2025-11-17,South / South-West,32.0,35.41007351875305
2025-11-17,West / North-West,12.0,16.93350648880005
