report_date,hospital,region,lag7_used,pred_hosp
2025-11-13,UH Waterford,HSE South & South East,0.0,0.08726574113422014
2025-11-13,Wexford General Hospital,HSE South & South East,14.0,10.473600065767467
2025-11-14,CHI at Tallaght,Dublin Midlands,0.0,1.5057107120870636
2025-11-14,CHI at Temple Street,HSE Dublin & North East,0.0,0.0
2025-11-14,Cavan General Hospital,HSE Dublin & North East,15.0,11.950723977939383
2025-11-14,Connolly Hospital,Dublin North East,3.0,4.54229183511939
2025-11-14,Cork University Hospital,South / South-West,32.0,17.556454419748313
2025-11-14,Letterkenny University Hospital,West / North-West,12.0,5.636997085097272
2025-11-14,Louth County Hospital,HSE Dublin & North East,0.0,0.1430003219460172
2025-11-14,MRH Mullingar,HSE Dublin & Midlands,22.0,19.215695273159167
2025-11-14,MRH Portlaoise,HSE Dublin & Midlands,2.0,0.0
2025-11-14,MRH Tullamore,HSE Dublin & Midlands,0.0,0.10020135621605775
2025-11-14,Mallow General Hospital,HSE South & South East,0.0,0.0
2025-11-14,Mater Misericordiae University Hospital,Dublin North East,5.0,0.0
2025-11-14,Mayo University Hospital,HSE West & North West,16.0,9.47149327134547
2025-11-14,Mercy University Hospital,HSE South & South East,9.0,0.4055204661493068
2025-11-14,Naas General Hospital,Dublin Midlands,9.0,5.380932839299529
2025-11-14,National Orthopaedic Hospital Cappagh,HSE Dublin & North East,0.0,0.19001632751847808
2025-11-14,Nenagh Hospital,HSE West & North West,0.0,1.4941433456012545
2025-11-14,Our Lady of Lourdes Hospital,HSE Dublin & North East,0.0,0.0
2025-11-14,Our Lady's Hospital Navan,HSE Dublin & North East,0.0,0.0
2025-11-14,Portiuncula University Hospital,HSE West & North West,7.0,5.253176656288809
2025-11-14,Roscommon University Hospital,HSE West & North West,0.0,0.282374283060399
2025-11-14,Sligo University Hospital,HSE West & North West,4.0,0.0
2025-11-14,South Infirmary Victoria University Hospital,HSE South & South East,0.0,0.0
2025-11-14,St Luke's General Hospital Kilkenny,HSE South & South East,24.0,21.216075431802523
2025-11-14,St. Columcille's Hospital,HSE Dublin & North East,0.0,0.0
2025-11-14,St. James's Hospital,HSE Dublin & Midlands,11.0,1.9657760071935986
2025-11-14,St. John's Hospital Limerick,HSE West & North West,0.0,1.5364341885720174
2025-11-14,St. Luke's Radiation Oncology Network,HSE Dublin & North East,0.0,0.013423639221295858
2025-11-14,St. Michael's Hospital,HSE Dublin & North East,0.0,0.0
2025-11-14,St. Vincent's University Hospital,HSE Dublin & North East,42.0,29.04170515883438
2025-11-14,Tallaght University Hospital,HSE Dublin & Midlands,2.0,0.0
2025-11-14,Tipperary University Hospital,HSE South & South East,8.0,4.368788429796116
2025-11-14,UH Kerry,HSE South & South East,23.0,14.303990149447904
2025-11-14,UH Limerick,HSE West & North West,27.0,4.465932287521603
2025-11-14,UH Waterford,HSE South & South East,0.0,0.08726574113422014
2025-11-14,Wexford General Hospital,HSE South & South East,14.0,10.473600065767467
2025-11-15,CHI at Tallaght,Dublin Midlands,0.0,1.5057107120870636
2025-11-15,CHI at Temple Street,HSE Dublin & North East,0.0,0.0
2025-11-15,Cavan General Hospital,HSE Dublin & North East,15.0,11.950723977939383
2025-11-15,Connolly Hospital,Dublin North East,3.0,4.54229183511939
2025-11-15,Cork University Hospital,South / South-West,32.0,17.556454419748313
2025-11-15,Letterkenny University Hospital,West / North-West,12.0,5.636997085097272
2025-11-15,Louth County Hospital,HSE Dublin & North East,0.0,0.1430003219460172
2025-11-15,MRH Mullingar,HSE Dublin & Midlands,22.0,19.215695273159167
2025-11-15,MRH Portlaoise,HSE Dublin & Midlands,2.0,0.0
2025-11-15,MRH Tullamore,HSE Dublin & Midlands,0.0,0.10020135621605775
2025-11-15,Mallow General Hospital,HSE South & South East,0.0,0.0
2025-11-15,Mater Misericordiae University Hospital,Dublin North East,5.0,0.0
2025-11-15,Mayo University Hospital,HSE West & North West,16.0,9.47149327134547
2025-11-15,Mercy University Hospital,HSE South & South East,9.0,0.4055204661493068
2025-11-15,Naas General Hospital,Dublin Midlands,9.0,5.380932839299529
2025-11-15,National Orthopaedic Hospital Cappagh,HSE Dublin & North East,0.0,0.19001632751847808
2025-11-15,Nenagh Hospital,HSE West & North West,0.0,1.4941433456012545
2025-11-15,Our Lady of Lourdes Hospital,HSE Dublin & North East,0.0,0.0
2025-11-15,Our Lady's Hospital Navan,HSE Dublin & North East,0.0,0.0
2025-11-15,Portiuncula University Hospital,HSE West & North West,7.0,5.253176656288809
2025-11-15,Roscommon University Hospital,HSE West & North West,0.0,0.282374283060399
2025-11-15,Sligo University Hospital,HSE West & North West,4.0,0.0
2025-11-15,South Infirmary Victoria University Hospital,HSE South & South East,0.0,0.0
2025-11-15,St Luke's General Hospital Kilkenny,HSE South & South East,24.0,21.216075431802523
2025-11-15,St. Columcille's Hospital,HSE Dublin & North East,0.0,0.0
2025-11-15,St. James's Hospital,HSE Dublin & Midlands,11.0,1.9657760071935986
2025-11-15,St. John's Hospital Limerick,HSE West & North West,0.0,1.5364341885720174
2025-11-15,St. Luke's Radiation Oncology Network,HSE Dublin & North East,0.0,0.013423639221295858
2025-11-15,St. Michael's Hospital,HSE Dublin & North East,0.0,0.0
2025-11-15,St. Vincent's University Hospital,HSE Dublin & North East,42.0,29.04170515883438
2025-11-15,Tallaght University Hospital,HSE Dublin & Midlands,2.0,0.0
2025-11-15,Tipperary University Hospital,HSE South & South East,8.0,4.368788429796116
2025-11-15,UH Kerry,HSE South & South East,23.0,14.303990149447904
2025-11-15,UH Limerick,HSE West & North West,27.0,4.465932287521603
2025-11-15,UH Waterford,HSE South & South East,0.0,0.08726574113422014
2025-11-15,Wexford General Hospital,HSE South & South East,14.0,10.473600065767467
2025-11-16,CHI at Tallaght,Dublin Midlands,0.0,1.5057107120870636
2025-11-16,CHI at Temple Street,HSE Dublin & North East,0.0,0.0
2025-11-16,Cavan General Hospital,HSE Dublin & North East,15.0,11.950723977939383
2025-11-16,Connolly Hospital,Dublin North East,3.0,4.54229183511939
2025-11-16,Cork University Hospital,South / South-West,32.0,17.556454419748313
2025-11-16,Letterkenny University Hospital,West / North-West,12.0,5.636997085097272
2025-11-16,Louth County Hospital,HSE Dublin & North East,0.0,0.1430003219460172
2025-11-16,MRH Mullingar,HSE Dublin & Midlands,22.0,19.215695273159167
2025-11-16,MRH Portlaoise,HSE Dublin & Midlands,2.0,0.0
2025-11-16,MRH Tullamore,HSE Dublin & Midlands,0.0,0.10020135621605775
2025-11-16,Mallow General Hospital,HSE South & South East,0.0,0.0
2025-11-16,Mater Misericordiae University Hospital,Dublin North East,5.0,0.0
2025-11-16,Mayo University Hospital,HSE West & North West,16.0,9.47149327134547
2025-11-16,Mercy University Hospital,HSE South & South East,9.0,0.4055204661493068
2025-11-16,Naas General Hospital,Dublin Midlands,9.0,5.380932839299529
2025-11-16,National Orthopaedic Hospital Cappagh,HSE Dublin & North East,0.0,0.19001632751847808
2025-11-16,Nenagh Hospital,HSE West & North West,0.0,1.4941433456012545
2025-11-16,Our Lady of Lourdes Hospital,HSE Dublin & North East,0.0,0.0
2025-11-16,Our Lady's Hospital Navan,HSE Dublin & North East,0.0,0.0
2025-11-16,Portiuncula University Hospital,HSE West & North West,7.0,5.253176656288809
2025-11-16,Roscommon University Hospital,HSE West & North West,0.0,0.282374283060399
2025-11-16,Sligo University Hospital,HSE West & North West,4.0,0.0
2025-11-16,South Infirmary Victoria University Hospital,HSE South & South East,0.0,0.0
2025-11-16,St Luke's General Hospital Kilkenny,HSE South & South East,24.0,21.216075431802523
2025-11-16,St. Columcille's Hospital,HSE Dublin & North East,0.0,0.0
2025-11-16,St. James's Hospital,HSE Dublin & Midlands,11.0,1.9657760071935986
2025-11-16,St. John's Hospital Limerick,HSE West & North West,0.0,1.5364341885720174
2025-11-16,St. Luke's Radiation Oncology Network,HSE Dublin & North East,0.0,0.013423639221295858
2025-11-16,St. Michael's Hospital,HSE Dublin & North East,0.0,0.0
2025-11-16,St. Vincent's University Hospital,HSE Dublin & North East,42.0,29.04170515883438
2025-11-16,Tallaght University Hospital,HSE Dublin & Midlands,2.0,0.0
2025-11-16,Tipperary University Hospital,HSE South & South East,8.0,4.368788429796116
2025-11-16,UH Kerry,HSE South & South East,23.0,14.303990149447904
2025-11-16,UH Limerick,HSE West & North West,27.0,4.465932287521603
2025-11-16,UH Waterford,HSE South & South East,0.0,0.08726574113422014
2025-11-16,Wexford General Hospital,HSE South & South East,14.0,10.473600065767467
2025-11-17,CHI at Tallaght,Dublin Midlands,0.0,1.5057107120870636
2025-11-17,CHI at Temple Street,HSE Dublin & North East,0.0,0.0
2025-11-17,Cavan General Hospital,HSE Dublin & North East,15.0,11.950723977939383
2025-11-17,Connolly Hospital,Dublin North East,3.0,4.54229183511939
2025-11-17,Cork University Hospital,South / South-West,32.0,17.556454419748313
2025-11-17,Letterkenny University Hospital,West / North-West,12.0,5.636997085097272
2025-11-17,Louth County Hospital,HSE Dublin & North East,0.0,0.1430003219460172
2025-11-17,MRH Mullingar,HSE Dublin & Midlands,22.0,19.215695273159167
2025-11-17,MRH Portlaoise,HSE Dublin & Midlands,2.0,0.0
2025-11-17,MRH Tullamore,HSE Dublin & Midlands,0.0,0.10020135621605775
2025-11-17,Mallow General Hospital,HSE South & South East,0.0,0.0
2025-11-17,Mater Misericordiae University Hospital,Dublin North East,5.0,0.0
2025-11-17,Mayo University Hospital,HSE West & North West,16.0,9.47149327134547
2025-11-17,Mercy University Hospital,HSE South & South East,9.0,0.4055204661493068
2025-11-17,Naas General Hospital,Dublin Midlands,9.0,5.380932839299529
2025-11-17,National Orthopaedic Hospital Cappagh,HSE Dublin & North East,0.0,0.19001632751847808
2025-11-17,Nenagh Hospital,HSE West & North West,0.0,1.4941433456012545
2025-11-17,Our Lady of Lourdes Hospital,HSE Dublin & North East,0.0,0.0
2025-11-17,Our Lady's Hospital Navan,HSE Dublin & North East,0.0,0.0
2025-11-17,Portiuncula University Hospital,HSE West & North West,7.0,5.253176656288809
2025-11-17,Roscommon University Hospital,HSE West & North West,0.0,0.282374283060399
2025-11-17,Sligo University Hospital,HSE West & North West,4.0,0.0
2025-11-17,South Infirmary Victoria University Hospital,HSE South & South East,0.0,0.0
2025-11-17,St Luke's General Hospital Kilkenny,HSE South & South East,24.0,21.216075431802523
2025-11-17,St. Columcille's Hospital,HSE Dublin & North East,0.0,0.0
2025-11-17,St. James's Hospital,HSE Dublin & Midlands,11.0,1.9657760071935986
2025-11-17,St. John's Hospital Limerick,HSE West & North West,0.0,1.5364341885720174
2025-11-17,St. Luke's Radiation Oncology Network,HSE Dublin & North East,0.0,0.013423639221295858
2025-11-17,St. Michael's Hospital,HSE Dublin & North East,0.0,0.0
2025-11-17,St. Vincent's University Hospital,HSE Dublin & North East,42.0,29.04170515883438
2025-11-17,Tallaght University Hospital,HSE Dublin & Midlands,2.0,0.0
2025-11-17,Tipperary University Hospital,HSE South & South East,8.0,4.368788429796116
2025-11-17,UH Kerry,HSE South & South East,23.0,14.303990149447904
2025-11-17,UH Limerick,HSE West & North West,27.0,4.465932287521603
2025-11-17,UH Waterford,HSE South & South East,0.0,0.08726574113422014
2025-11-17,Wexford General Hospital,HSE South & South East,14.0,10.473600065767467
