report_date,hospital,region,lag7_used,pred_hosp
2025-11-06,MRH Tullamore,HSE Dublin & Midlands,0.0,0.10020135621605775
2025-11-06,Mallow General Hospital,HSE South & South East,0.0,0.0
2025-11-06,Mater Misericordiae University Hospital,Dublin North East,9.0,2.7123484763795664
2025-11-06,Mayo University Hospital,HSE West & North West,21.0,14.47149327134547
2025-11-06,Mercy University Hospital,HSE South & South East,15.0,6.405520466149307
2025-11-06,Naas General Hospital,Dublin Midlands,0.0,0.0
2025-11-06,National Orthopaedic Hospital Cappagh,HSE Dublin & North East,0.0,0.19001632751847808
2025-11-06,Nenagh Hospital,HSE West & North West,0.0,1.4941433456012545
2025-11-06,Our Lady of Lourdes Hospital,HSE Dublin & North East,5.0,0.0
2025-11-06,Our Lady's Hospital Navan,HSE Dublin & North East,5.0,4.261215991282585
2025-11-06,Portiuncula University Hospital,HSE West & North West,0.0,0.0
2025-11-06,Roscommon University Hospital,HSE West & North West,0.0,0.282374283060399
2025-11-06,Sligo University Hospital,HSE West & North West,14.0,5.876537924280738
2025-11-06,South Infirmary Victoria University Hospital,HSE South & South East,0.0,0.0
2025-11-06,St Luke's General Hospital Kilkenny,HSE South & South East,9.0,6.216075431802523
2025-11-06,St. Columcille's Hospital,HSE Dublin & North East,0.0,0.0
2025-11-06,St. James's Hospital,HSE Dublin & Midlands,14.0,4.965776007193599
2025-11-06,St. John's Hospital Limerick,HSE West & North West,0.0,1.5364341885720174
2025-11-06,St. Luke's Radiation Oncology Network,HSE Dublin & North East,0.0,0.013423639221295858
2025-11-06,St. Michael's Hospital,HSE Dublin & North East,0.0,0.0
2025-11-06,St. Vincent's University Hospital,HSE Dublin & North East,26.0,13.041705158834379
2025-11-06,Tallaght University Hospital,HSE Dublin & Midlands,2.0,0.0
2025-11-06,Tipperary University Hospital,HSE South & South East,5.0,1.3687884297961164
2025-11-06,UH Kerry,HSE South & South East,26.0,17.303990149447905
2025-11-06,UH Limerick,HSE West & North West,24.0,1.4659322875216034
2025-11-06,UH Waterford,HSE South & South East,0.0,0.08726574113422014
2025-11-06,Wexford General Hospital,HSE South & South East,13.0,9.473600065767467
2025-11-07,CHI at Tallaght,Dublin Midlands,0.0,1.5057107120870636
2025-11-07,CHI at Temple Street,HSE Dublin & North East,0.0,0.0
2025-11-07,Cavan General Hospital,HSE Dublin & North East,12.0,8.950723977939383
2025-11-07,Connolly Hospital,Dublin North East,1.0,2.54229183511939
2025-11-07,Cork University Hospital,South / South-West,35.0,20.556454419748313
2025-11-07,Letterkenny University Hospital,West / North-West,11.0,4.636997085097272
2025-11-07,Louth County Hospital,HSE Dublin & North East,0.0,0.1430003219460172
2025-11-07,MRH Mullingar,HSE Dublin & Midlands,20.0,17.215695273159167
2025-11-07,MRH Portlaoise,HSE Dublin & Midlands,9.0,6.805866289458162
2025-11-07,MRH Tullamore,HSE Dublin & Midlands,0.0,0.10020135621605775
2025-11-07,Mallow General Hospital,HSE South & South East,0.0,0.0
2025-11-07,Mater Misericordiae University Hospital,Dublin North East,3.0,0.0
2025-11-07,Mayo University Hospital,HSE West & North West,23.0,16.47149327134547
2025-11-07,Mercy University Hospital,HSE South & South East,20.0,11.405520466149307
2025-11-07,Naas General Hospital,Dublin Midlands,4.0,0.3809328392995286
