hospital,rows,mean_y,nonzero_pct,mae_model,mae_baseline,lift_mae,smape_model,smape_baseline,lift_smape
UH Limerick,90.0,41.111111111111114,0.9555555555555556,13.147389790142268,15.744444444444444,2.597054654302175,57.58264185546588,67.2531286013936,9.670486745927718
Tallaght University Hospital,90.0,15.322222222222223,0.8222222222222222,8.431639856836277,10.744444444444444,2.3128045876081664,71.04126182493079,88.43548039084746,17.394218565916674
Letterkenny University Hospital,90.0,15.244444444444444,0.9888888888888889,6.865786945586138,9.077777777777778,2.2119908321916393,55.78035928123707,68.06257073724524,12.28221145600817
Mayo University Hospital,90.0,19.288888888888888,0.9666666666666667,6.554028629685238,8.244444444444444,1.6904158147592057,43.879147023532134,57.618244109702886,13.739097086170752
UH Kerry,90.0,18.81111111111111,1.0,7.399890631497053,8.988888888888889,1.588998257391836,44.52802237006572,53.83617440390586,9.308152033840138
Mercy University Hospital,90.0,17.455555555555556,0.9777777777777777,7.4355308636931206,8.955555555555556,1.5200246918624352,58.07433615783422,62.94286556964338,4.868529411809163
St. James's Hospital,90.0,13.266666666666667,0.9444444444444444,5.596939156287709,7.0,1.4030608437122911,61.89964462212533,66.8089344794902,4.909289857364875
Cork University Hospital,90.0,29.466666666666665,0.9888888888888889,11.904723771846808,13.3,1.3952762281531932,62.15321510204299,54.961609789751535,-7.191605312291458
Sligo University Hospital,90.0,16.8,0.9666666666666667,6.736718655631713,8.1,1.3632813443682865,57.29903902738294,64.79661117976187,7.497572152378929
St. Vincent's University Hospital,90.0,26.41111111111111,0.9555555555555556,10.393261078733806,11.744444444444444,1.3511833657106376,49.82363493696705,55.56250068134362,5.738865744376568
Wexford General Hospital,90.0,6.4222222222222225,0.8666666666666667,3.8048432220501587,4.911111111111111,1.1062678890609527,85.80203261765745,92.15666266386212,6.354630046204676
Our Lady of Lourdes Hospital,90.0,5.822222222222222,0.6111111111111112,3.0225273869265536,4.066666666666666,1.0441392797401128,61.25735343461438,74.35260170968144,13.095248275067057
Portiuncula University Hospital,90.0,2.7666666666666666,0.6,2.403355618931936,3.411111111111111,1.0077554921791751,105.43180643218668,132.0506222172889,26.618815785102214
Cavan General Hospital,90.0,5.5777777777777775,0.8666666666666667,3.10402616085897,4.0777777777777775,0.9737516169188076,81.12401146350953,86.35532722065231,5.231315757142781
Mater Misericordiae University Hospital,90.0,11.733333333333333,0.9111111111111111,4.609001039560399,5.566666666666666,0.9576656271062678,60.01922855336069,58.90535562160405,-1.1138729317566387
Tipperary University Hospital,90.0,7.777777777777778,0.9555555555555556,2.956549500518072,3.8777777777777778,0.9212282772597056,57.226527857366506,59.89743116968869,2.6709033123221815
MRH Mullingar,90.0,4.2555555555555555,0.8666666666666667,3.0619746642723005,3.8666666666666667,0.8046920023943662,110.38447279505364,101.18609980925686,-9.19837298579678
Naas General Hospital,90.0,6.7444444444444445,0.8888888888888888,3.896058438374845,4.588888888888889,0.6928304505140437,103.35703579456124,90.64734010461657,-12.709695689944667
MRH Portlaoise,90.0,4.677777777777778,0.9222222222222223,2.2163606396411972,2.8555555555555556,0.6391949159143584,76.59093083832147,78.28857420911083,1.6976433707893648
St Luke's General Hospital Kilkenny,90.0,8.811111111111112,0.8,4.269928510043344,4.9,0.6300714899566566,60.28591214885781,72.60346268812276,12.31755053926495
CHI at Temple Street,90.0,2.066666666666667,0.6666666666666666,1.5146209115842368,2.066666666666667,0.55204575508243,83.6943180722324,106.75186541853208,23.05754734629967
Connolly Hospital,90.0,1.0666666666666667,0.28888888888888886,0.987527882168426,1.3888888888888888,0.4013610067204628,49.98621930895162,71.75957375957374,21.773354450622122
CHI at Tallaght,90.0,0.5,0.28888888888888886,0.48250529038244705,0.7222222222222222,0.23971693183977516,64.70493349962899,80.44444444444443,15.739510944815436
